epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.99,1.91404,8.39215,3.16078,0.01256,0.35714,0.01716,0.00712,2.58163,10.5363,3.67729,4.287e-05,4.287e-05,4.287e-05
2,695.46,1.76736,7.98058,3.05397,0.0113,0.57143,0.04135,0.02084,2.03231,10.3445,3.22974,9.80494e-05,9.80494e-05,9.80494e-05
3,951.252,1.31282,7.65586,2.75877,0.01135,0.92857,0.26573,0.18625,2.08126,10.3118,3.05949,0.000150965,0.000150965,0.000150965
4,1292.25,1.50072,7.84358,2.8968,0.00976,0.85714,0.09956,0.06629,3.30598,10.8506,3.66531,0.000201618,0.000201618,0.000201618
5,1800.35,1.40684,7.00891,2.6112,0.00932,0.71429,0.09738,0.05292,3.79088,11.3171,4.05038,0.000250006,0.000250006,0.000250006
6,2045.8,1.46059,6.84113,2.63666,0.01207,0.78571,0.14411,0.06196,3.58571,11.2336,3.89707,0.000296132,0.000296132,0.000296132
7,2154.07,1.51277,6.7783,2.74092,0.01398,0.78571,0.15185,0.07769,3.23276,10.916,3.70383,0.000339993,0.000339993,0.000339993
8,2329.61,1.42591,6.29826,2.54282,0.01291,0.64286,0.12037,0.08803,4.02699,11.5191,4.20242,0.000381592,0.000381592,0.000381592
9,2397.14,1.36815,5.57151,2.55111,0.0119,0.71429,0.1968,0.1036,3.74915,11.0293,3.96192,0.000420926,0.000420926,0.000420926
10,2606.89,1.58434,5.49106,2.66567,0.01068,0.71429,0.34918,0.13658,3.57422,10.6948,4.03202,0.000457997,0.000457997,0.000457997
11,2831.28,1.35126,5.22088,2.62069,0.01183,0.85714,0.38104,0.24698,2.75823,10.0682,3.41674,0.000492805,0.000492805,0.000492805
12,3203.11,1.60459,5.42929,2.69166,0.01202,0.85714,0.45782,0.3324,2.74845,9.84074,3.30702,0.000525349,0.000525349,0.000525349
13,3520.1,1.45203,4.75065,2.57093,0.00973,0.71429,0.36931,0.14229,4.18891,10.3679,4.91155,0.000555629,0.000555629,0.000555629
14,3711.7,1.63076,4.7324,2.64405,0.01113,0.85714,0.55055,0.24364,3.71268,9.8237,4.52887,0.000583646,0.000583646,0.000583646
15,3787.3,1.41008,4.49884,2.62358,0.48566,0.42857,0.46404,0.3112,2.89267,9.20306,3.83546,0.0006094,0.0006094,0.0006094
16,3968.5,1.59246,4.86218,2.69627,0.04676,0.78571,0.52329,0.32345,2.96094,9.03629,3.9184,0.00063289,0.00063289,0.00063289
17,4097.03,1.46017,4.37637,2.66102,0.01033,0.92857,0.39269,0.23201,3.092,9.04708,4.01642,0.000654116,0.000654116,0.000654116
18,4183.3,1.41833,3.98927,2.44454,1,0.14152,0.33722,0.20916,2.54235,8.74623,3.43688,0.000673079,0.000673079,0.000673079
19,4304.29,1.31629,3.73284,2.43081,0.62808,0.12632,0.38452,0.20053,2.39109,8.54653,3.11684,0.000689778,0.000689778,0.000689778
20,4536.79,1.37542,4.40911,2.48736,1,0.19144,0.47555,0.34089,2.24833,8.20926,3.03803,0.000704214,0.000704214,0.000704214
21,4716.54,1.34145,4.11797,2.42769,1,0.12935,0.47262,0.35929,2.16304,8.10893,3.19278,0.000716386,0.000716386,0.000716386
22,4947.1,1.32153,3.71891,2.4574,0.37743,0.21429,0.24568,0.12425,2.32403,8.40567,3.25842,0.000726295,0.000726295,0.000726295
23,5217.24,1.44594,3.75347,2.45025,0.39959,0.14286,0.20066,0.09285,2.50045,8.2266,3.49958,0.00073394,0.00073394,0.00073394
24,5377.24,1.41096,4.14233,2.50556,0.30534,0.5,0.31485,0.16183,2.39006,8.10026,3.39947,0.000739322,0.000739322,0.000739322
25,5520.81,1.46848,3.58622,2.59373,0.01147,0.85714,0.53122,0.37638,2.56184,7.74709,3.67694,0.00074244,0.00074244,0.00074244
26,5655.88,1.40004,3.66921,2.414,0.33676,0.5,0.43979,0.26318,2.76094,7.95139,3.75113,0.000721645,0.000721645,0.000721645
27,5820.62,1.29894,3.43946,2.35373,0.55035,0.07143,0.36811,0.17721,3.38183,8.33296,4.33832,0.000693351,0.000693351,0.000693351
28,5917.94,1.48803,3.63434,2.54734,0.3466,0.07143,0.24339,0.10776,3.48417,8.41992,4.36636,0.000665057,0.000665057,0.000665057
29,6129.11,1.54808,4.47562,2.54365,0.21664,0.07143,0.28087,0.15313,3.19958,8.3578,4.09357,0.000636762,0.000636762,0.000636762
